especie,lat,lon
Lepidium bipinnatifidum,4.643155,-74.178561
Lepidium bipinnatifidum,4.67291,-74.16575
Lepidium bipinnatifidum,4.67291,-74.16575
Lepidium bipinnatifidum,4.770192,-74.0998
Lepidium bipinnatifidum,4.671938,-74.038679
Lepidium bipinnatifidum,4.771139,-74.100778
Lepidium bipinnatifidum,4.770472,-74.101583
Lepidium bipinnatifidum,4.774306,-74.096861
Lepidium bipinnatifidum,4.771306,-74.101528
Lepidium bipinnatifidum,4.773194,-74.098444
Lepidium bipinnatifidum,4.773222,-74.098075
Lepidium bipinnatifidum,4.771472,-74.101333
Lepidium bipinnatifidum,4.618153,-74.016844
Lepidium bipinnatifidum,5.282452,-73.49569
Lepidium bipinnatifidum,4.688955,-74.056655
Lepidium bipinnatifidum,4.477,-75.3925
Lepidium bipinnatifidum,4.477,-75.3925
Lepidium bipinnatifidum,4.674373,-74.055802
Lepidium bipinnatifidum,4.67666,-74.13216
Lepidium bipinnatifidum,4.48222,-74.08458
Lepidium bipinnatifidum,4.65627,-74.1323
Lepidium bipinnatifidum,4.68313,-74.01097
Lepidium bipinnatifidum,4.60283,-74.11452
Lepidium bipinnatifidum,5.803245,-73.027334
Lepidium bipinnatifidum,4.50711,-74.08691
Lepidium bipinnatifidum,4.59305,-74.06444
Lepidium bipinnatifidum,4.56377,-74.06866
Lepidium bipinnatifidum,4.59452,-74.10633
Lepidium bipinnatifidum,4.59375,-74.11791
Lepidium bipinnatifidum,4.60675,-74.06061
Lepidium bipinnatifidum,4.6298,-74.1278
Lepidium bipinnatifidum,4.65533,-74.09744
Lepidium bipinnatifidum,4.5893,-74.11544
Lepidium bipinnatifidum,4.59866,-74.11827
Lepidium bipinnatifidum,4.61902,-74.1245
Lepidium bipinnatifidum,4.58386,-74.10872
Lepidium bipinnatifidum,4.60213,-74.02955
Lepidium bipinnatifidum,4.60155,-74.02955
Lepidium bipinnatifidum,4.60194,-74.02933
Lepidium bipinnatifidum,4.69525,-74.04691
Lepidium bipinnatifidum,4.62361,-74.06488
Lepidium bipinnatifidum,4.71413,-74.06452
Lepidium bipinnatifidum,4.704,-74.04136
Lepidium bipinnatifidum,5.781861,-73.000472
Lepidium bipinnatifidum,5.379861,-73.503111
Lepidium bipinnatifidum,4.62819,-74.06872
Lepidium bipinnatifidum,4.518417,-74.141528
Lepidium bipinnatifidum,4.73022,-74.14869
Lepidium bipinnatifidum,4.7725,-74.098889
Lepidium bipinnatifidum,4.7725,-74.098889
Lepidium bipinnatifidum,5.341,-73.94
Lepidium bipinnatifidum,5.633333,-73.533333
Lepidium bipinnatifidum,5.633333,-73.533333
Lepidium bipinnatifidum,0.8048,-77.585714
Lepidium bipinnatifidum,4.59888,-74.08083
Lepidium bipinnatifidum,4.93943,-73.95962
Lepidium bipinnatifidum,4.93943,-73.95962
Lepidium bipinnatifidum,4.6681,-74.10013
Lepidium bipinnatifidum,5.0392,-75.4179
Lepidium bipinnatifidum,5.00726,-74.1918
Lepidium bipinnatifidum,4.988744,-74.157091
Lepidium bipinnatifidum,5.030132,-75.433971
Lepidium bipinnatifidum,4.809998,-74.119206
Lepidium bipinnatifidum,4.68935,-74.23599
Lepidium bipinnatifidum,6.45,-76.066667
Lepidium bipinnatifidum,6.45,-76.066667
Lepidium bipinnatifidum,5.031462,-75.408413
Lepidium bipinnatifidum,6.45,-76.066667
Lepidium bipinnatifidum,5.031546,-75.509364
Lepidium bipinnatifidum,7.206575,-72.754775
Lepidium bipinnatifidum,5.033357,-75.457632
Lepidium bipinnatifidum,5.056389,-75.494444
Lepidium bipinnatifidum,5.056389,-75.494444
Lepidium bipinnatifidum,5.550207,-74.865519
Lepidium bipinnatifidum,7.207753,-72.924692
Lepidium bipinnatifidum,7.207753,-72.924692
Lepidium bipinnatifidum,4.70071,-74.29928
Lepidium bipinnatifidum,6.463077,-76.10564
